Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11501.849609375,11522.009765625,11305.6904296875,11357.509765625,11357.509765625,1697500
2000-01-04,11349.75,11350.0595703125,10986.4501953125,10997.9296875,10997.9296875,1784200
2000-01-05,10989.3701171875,11215.099609375,10938.669921875,11122.650390625,11122.650390625,2031900
2000-01-06,11113.3701171875,11313.4501953125,11098.4501953125,11253.259765625,11253.259765625,1765500
2000-01-07,11247.0595703125,11528.1396484375,11239.919921875,11522.5595703125,11522.5595703125,1849000
2000-01-10,11532.48046875,11638.2802734375,11532.48046875,11572.2001953125,11572.2001953125,1681800
2000-01-11,11568.4697265625,11663.099609375,11502.7001953125,11511.080078125,11511.080078125,1773000
2000-01-12,11506.73046875,11612.5302734375,11505.1796875,11551.099609375,11551.099609375,1940600
2000-01-13,11558.240234375,11656.580078125,11524.1103515625,11582.4296875,11582.4296875,1749100
2000-01-14,11619.349609375,11750.2802734375,11612.5302734375,11722.98046875,11722.98046875,2668300
2000-01-18,11719.1904296875,11720.1201171875,11546.4501953125,11560.7197265625,11560.7197265625,2002200
2000-01-19,11535.240234375,11574.6796875,11456.009765625,11489.3603515625,11489.3603515625,1930900
2000-01-20,11490.2900390625,11558.7001953125,11274.98046875,11351.2998046875,11351.2998046875,1912300
2000-01-21,11356.259765625,11387.599609375,11232.48046875,11251.7099609375,11251.7099609375,2058400
2000-01-24,11251.9404296875,11366.5,10917.26953125,11008.169921875,11008.169921875,2027400
2000-01-25,11010.9599609375,11079.51953125,10883.4501953125,11029.8896484375,11029.8896484375,2092300
2000-01-26,11025.849609375,11131.0302734375,11002.580078125,11032.990234375,11032.990234375,1888400
2000-01-27,11035.5498046875,11164.1396484375,10915.400390625,11028.01953125,11028.01953125,1942800
2000-01-28,11024.919921875,11024.919921875,10735.76953125,10738.8701171875,10738.8701171875,1830900
2000-01-31,10735.76953125,10956.669921875,10701.6396484375,10940.5302734375,10940.5302734375,1918800
2000-02-01,10937.740234375,11073.3203125,10907.9599609375,11041.0498046875,11041.0498046875,1831100
2000-02-02,11037.6396484375,11118.9296875,10987.0703125,11003.2001953125,11003.2001953125,1641700
2000-02-03,11010.48046875,11079.51953125,10842.259765625,11013.4404296875,11013.4404296875,1786300
2000-02-04,11014.3701171875,11089.4501953125,10943.01953125,10963.7998046875,10963.7998046875,1665900
2000-02-07,10965.9697265625,10970.9404296875,10846.2197265625,10905.7900390625,10905.7900390625,1456600
2000-02-08,10904.259765625,11023.0595703125,10904.259765625,10957.599609375,10957.599609375,1688900
2000-02-09,10948.8203125,10948.8203125,10698.849609375,10699.16015625,10699.16015625,1685500
2000-02-10,10697.919921875,10738.25,10606.400390625,10643.6298828125,10643.6298828125,1563900
2000-02-11,10638.6396484375,10638.6396484375,10356.9599609375,10425.2099609375,10425.2099609375,1935400
2000-02-14,10431.650390625,10549.0,10430.7998046875,10519.83984375,10519.83984375,1672400
2000-02-15,10520.150390625,10763.0703125,10494.48046875,10718.08984375,10718.08984375,1833200
2000-02-16,10711.8203125,10741.669921875,10561.41015625,10561.41015625,10561.41015625,1632800
2000-02-17,10565.759765625,10671.8603515625,10454.6103515625,10514.5703125,10514.5703125,1958300
2000-02-18,10514.5703125,10517.75,10199.98046875,10219.51953125,10219.51953125,2089300
2000-02-22,10219.830078125,10336.7900390625,10103.7998046875,10304.83984375,10304.83984375,1943400
2000-02-23,10294.8203125,10338.349609375,10164.919921875,10225.73046875,10225.73046875,1852800
2000-02-24,10242.48046875,10248.0595703125,9942.7802734375,10092.6298828125,10092.6298828125,2375400
2000-02-25,10090.76953125,10132.419921875,9836.0595703125,9862.1201171875,9862.1201171875,1952400
2000-02-28,9854.66015625,10156.5400390625,9842.5703125,10038.650390625,10038.650390625,2132300
2000-02-29,10039.580078125,10204.9404296875,10029.9599609375,10128.3095703125,10128.3095703125,1913600
2000-03-01,10128.1103515625,10186.330078125,10084.5595703125,10137.9296875,10137.9296875,2167800
2000-03-02,10135.4404296875,10212.3896484375,10103.490234375,10164.919921875,10164.919921875,2065100
2000-03-03,10171.1201171875,10443.51953125,10171.1201171875,10367.2001953125,10367.2001953125,2104600
2000-03-06,10358.9599609375,10383.9501953125,10121.48046875,10170.5,10170.5,1725900
2000-03-07,10197.6103515625,10229.1396484375,9752.6796875,9796.0302734375,9796.0302734375,2781800
2000-03-08,9800.6904296875,9918.8896484375,9731.8095703125,9856.5302734375,9856.5302734375,2233100
2000-03-09,9855.2900390625,10010.73046875,9738.9501953125,10010.73046875,10010.73046875,1873600
2000-03-10,10008.5498046875,10091.3896484375,9907.259765625,9928.8203125,9928.8203125,1974400
2000-03-13,9911.2197265625,9998.5498046875,9735.5400390625,9947.1298828125,9947.1298828125,1862100
2000-03-14,9957.669921875,10043.2998046875,9811.240234375,9811.240234375,9811.240234375,1860800
2000-03-15,9808.150390625,10180.2001953125,9776.490234375,10131.41015625,10131.41015625,2049200
2000-03-16,10139.580078125,10632.4599609375,10138.33984375,10630.599609375,10630.599609375,2537900
2000-03-17,10629.98046875,10763.3798828125,10567.3095703125,10595.23046875,10595.23046875,2478300
2000-03-20,10594.75,10727.7099609375,10586.990234375,10680.240234375,10680.240234375,1777300
2000-03-21,10680.240234375,10907.33984375,10603.6103515625,10907.33984375,10907.33984375,2119500
2000-03-22,10916.9599609375,10917.26953125,10789.1298828125,10866.7001953125,10866.7001953125,1958300
2000-03-23,10884.3798828125,11136.6103515625,10831.01953125,11119.8603515625,11119.8603515625,2247100
2000-03-24,11107.4501953125,11234.650390625,11045.08984375,11112.7197265625,11112.7197265625,2171400
2000-03-27,11093.25,11170.8203125,10982.73046875,11025.849609375,11025.849609375,1848800
2000-03-28,11023.6796875,11094.33984375,10932.7802734375,10936.1103515625,10936.1103515625,1777800
2000-03-29,10939.0498046875,11101.5498046875,10910.75,11018.7197265625,11018.7197265625,1993700
2000-03-30,11008.169921875,11144.0595703125,10916.33984375,10980.25,10980.25,2141900
2000-03-31,10993.2802734375,11107.759765625,10921.919921875,10921.919921875,10921.919921875,1795900
2000-04-03,10863.2802734375,11223.7900390625,10862.9697265625,11221.9296875,11221.9296875,2799500
2000-04-04,11225.33984375,11418.240234375,10717.7802734375,11164.83984375,11164.83984375,3192800
2000-04-05,11163.2900390625,11218.2099609375,11002.580078125,11033.919921875,11033.919921875,1893100
2000-04-06,11029.5595703125,11201.1396484375,11029.5595703125,11114.26953125,11114.26953125,1618200
2000-04-07,11122.0302734375,11192.4501953125,11062.76953125,11111.48046875,11111.48046875,1565000
2000-04-10,11114.8896484375,11287.7001953125,11097.2099609375,11186.5595703125,11186.5595703125,1500700
2000-04-11,11180.98046875,11361.150390625,11102.48046875,11287.080078125,11287.080078125,1711300
2000-04-12,11283.0498046875,11425.4501953125,11116.75,11125.1298828125,11125.1298828125,2347800
2000-04-13,11132.580078125,11144.0595703125,10920.759765625,10923.5498046875,10923.5498046875,2002400
2000-04-14,10922.849609375,10922.849609375,10201.5302734375,10305.76953125,10305.76953125,2675800
2000-04-17,10303.2900390625,10583.75,10232.5498046875,10582.509765625,10582.509765625,2475200
2000-04-18,10584.01953125,10773.9296875,10571.33984375,10767.419921875,10767.419921875,2183800
2000-04-19,10748.9697265625,10789.4404296875,10632.150390625,10674.9599609375,10674.9599609375,1938600
2000-04-20,10668.1904296875,10845.2900390625,10665.08984375,10844.0498046875,10844.0498046875,1583900
2000-04-24,10822.330078125,10910.75,10695.4404296875,10906.099609375,10906.099609375,2953300
2000-04-25,10916.650390625,11136.6103515625,10881.0400390625,11124.8203125,11124.8203125,2402000
2000-04-26,11127.919921875,11141.8798828125,10902.0595703125,10945.5,10945.5,1989700
2000-04-27,10941.91015625,10941.91015625,10747.25,10888.099609375,10888.099609375,1929200
2000-04-28,10892.759765625,10959.23046875,10715.2998046875,10733.91015625,10733.91015625,1735200
2000-05-01,10749.419921875,10926.259765625,10724.2197265625,10811.7802734375,10811.7802734375,1740200
2000-05-02,10805.580078125,10824.5,10710.01953125,10731.1201171875,10731.1201171875,2086100
2000-05-03,10732.2099609375,10732.2099609375,10400.08984375,10480.1298828125,10480.1298828125,2002200
2000-05-04,10478.8896484375,10523.099609375,10407.5302734375,10412.490234375,10412.490234375,1691700
2000-05-05,10409.7001953125,10585.919921875,10375.8095703125,10577.8603515625,10577.8603515625,1383000
2000-05-08,10571.3095703125,10627.849609375,10522.0703125,10603.6298828125,10603.6298828125,1441800
2000-05-09,10607.5400390625,10684.849609375,10514.25,10536.75,10536.75,1663200
2000-05-10,10533.08984375,10533.08984375,10292.099609375,10367.7802734375,10367.7802734375,2259700
2000-05-11,10369.26953125,10575.099609375,10369.26953125,10545.9697265625,10545.9697265625,1857200
2000-05-12,10549.0595703125,10673.7900390625,10543.919921875,10609.3701171875,10609.3701171875,1377700
